SubPlot;idTree;Xfield;Yfield;Family;spName;Genus;Species;CircCorr;species
4;104058;141,5000000000000;70,50000000000000;Bignoniaceae;Jacaranda_copaia;Jacaranda;copaia subsp. copaia;43,000000000000;copaia
4;104059;147,5000000000000;71,50000000000000;Malvaceae;Sterculia_speciosa;Sterculia;speciosa;62,500000000000;speciosa
4;104060;148,0000000000000;75,50000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;45,500000000000;alba
4;104061;141,5000000000000;77,00000000000000;Fabaceae;Tachigali_melinonii;Tachigali;melinonii;82,000000000000;melinonii
4;104062;142,0000000000000;80,00000000000000;Clusiaceae;Tovomita_brevistaminea;Tovomita;brevistaminea;36,000000000000;brevistaminea
4;104063;145,0000000000000;83,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;164,000000000000;falcata
4;104065;146,5000000000000;87,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;101,000000000000;persistens
4;104067;149,5000000000000;99,50000000000000;Lamiaceae;Vitex_triflora;Vitex;triflora;37,000000000000;triflora
4;104068;148,0000000000000;102,50000000000000;Fabaceae;Swartzia_grandifolia;Swartzia;grandifolia;36,000000000000;grandifolia
4;104069;147,0000000000000;101,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;160,000000000000;falcata
4;104070;145,0000000000000;105,50000000000000;Moraceae;Brosimum_utile;Brosimum;utile;59,500000000000;utile
4;104071;143,5000000000000;109,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;94,000000000000;falcata
4;104073;143,5000000000000;114,00000000000000;Bignoniaceae;Tabebuia_insignis;Tabebuia;insignis;163,000000000000;insignis
4;104074;143,5000000000000;116,50000000000000;Meliaceae;Carapa_surinamensis;Carapa;surinamensis;93,000000000000;surinamensis
4;104075;149,0000000000000;112,00000000000000;Clusiaceae;Tovomita_brevistaminea;Tovomita;brevistaminea;41,000000000000;brevistaminea
4;104076;142,5000000000000;105,50000000000000;Sapindaceae;Talisia_praealta;Talisia;praealta;43,000000000000;praealta
4;104078;154,5000000000000;116,00000000000000;Euphorbiaceae;Conceveiba_guianensis;Conceveiba;guianensis;93,000000000000;guianensis
4;104083;180,0000000000000;17,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;39,000000000000;persistens
4;104088;158,0000000000000;96,50000000000000;Myristicaceae;Iryanthera_hostmannii;Iryanthera;hostmannii;82,000000000000;hostmannii
4;104090;154,5000000000000;93,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;143,500000000000;falcata
4;104091;153,0000000000000;92,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;67,500000000000;persistens
4;104092;156,5000000000000;85,50000000000000;Meliaceae;Carapa_surinamensis;Carapa;surinamensis;104,500000000000;surinamensis
4;104093;150,5000000000000;82,50000000000000;Myristicaceae;Iryanthera_hostmannii;Iryanthera;hostmannii;76,000000000000;hostmannii
4;104095;152,0000000000000;80,00000000000000;Sapotaceae;Pouteria_gonggrijpii;Pouteria;gonggrijpii;129,500000000000;gonggrijpii
4;104096;150,5000000000000;78,00000000000000;Metteniusaceae;Poraqueiba_guianensis;Poraqueiba;guianensis;76,500000000000;guianensis
4;104097;158,0000000000000;82,50000000000000;Calophyllaceae;Caraipa_punctulata;Caraipa;punctulata;82,000000000000;punctulata
4;104098;150,0000000000000;72,50000000000000;Myristicaceae;Iryanthera_hostmannii;Iryanthera;hostmannii;83,000000000000;hostmannii
4;104099;155,0000000000000;67,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;139,500000000000;falcata
4;104100;158,5000000000000;68,00000000000000;Moraceae;Brosimum_utile;Brosimum;utile;73,000000000000;utile
4;104104;150,0000000000000;56,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;65,500000000000;persistens
4;104105;159,5000000000000;59,50000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;66,000000000000;alba
4;104110;155,0000000000000;45,50000000000000;Salicaceae;Laetia_procera;Laetia;procera;136,000000000000;procera
4;104111;149,5000000000000;46,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;60,000000000000;persistens
4;104115;157,5000000000000;36,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;161,500000000000;falcata
4;104116;153,5000000000000;30,00000000000000;Euphorbiaceae;Conceveiba_guianensis;Conceveiba;guianensis;56,500000000000;guianensis
4;104119;156,0000000000000;24,50000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;65,500000000000;coriacea
4;104120;158,5000000000000;23,00000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;87,000000000000;coriacea
4;104121;158,5000000000000;17,50000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;70,500000000000;alba
4;104123;157,0000000000000;16,50000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;54,000000000000;coriacea
4;104127;157,0000000000000;10,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;38,000000000000;persistens
4;104129;157,5000000000000;5,50000000000000;Sapotaceae;Pouteria_eugeniifolia;Pouteria;eugeniifolia;133,500000000000;eugeniifolia
4;104130;152,0000000000000;8,00000000000000;Chrysobalanaceae;Parinari_campestris;Parinari;campestris;153,500000000000;campestris
4;104131;153,0000000000000;8,50000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;67,500000000000;coriacea
4;104132;152,5000000000000;6,50000000000000;Euphorbiaceae;Sandwithia_guyanensis;Sandwithia;guyanensis;40,000000000000;guyanensis
4;104134;156,0000000000000;3,50000000000000;Lecythidaceae;Eschweilera_sagotiana;Eschweilera;sagotiana;41,500000000000;sagotiana
4;104135;176,5000000000000;11,50000000000000;Sapotaceae;Pouteria_ambelaniifolia;Pouteria;ambelaniifolia;42,500000000000;ambelaniifolia
4;104139;165,5000000000000;2,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;141,500000000000;falcata
4;104142;164,0000000000000;5,50000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;55,000000000000;alba
4;104144;180,0000000000000;124,00000000000000;Lecythidaceae;Couratari_multiflora;Couratari;multiflora;71,000000000000;multiflora
4;104145;161,0000000000000;12,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;49,000000000000;persistens
4;104146;163,5000000000000;14,50000000000000;Malvaceae;Theobroma_guianense;Theobroma;guianense;50,000000000000;guianense
4;104149;165,5000000000000;26,00000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;78,000000000000;coriacea
4;104150;161,0000000000000;23,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;50,000000000000;persistens
4;104151;162,5000000000000;34,00000000000000;Bignoniaceae;Tabebuia_insignis;Tabebuia;insignis;92,000000000000;insignis
4;104152;164,5000000000000;32,50000000000000;Fabaceae;Ormosia_coutinhoi;Ormosia;coutinhoi;105,500000000000;coutinhoi
4;104153;169,5000000000000;29,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;45,500000000000;persistens
4;104154;168,5000000000000;42,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;52,000000000000;persistens
4;104157;165,5000000000000;42,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;56,000000000000;persistens
4;104158;162,5000000000000;40,00000000000000;Myristicaceae;Iryanthera_hostmannii;Iryanthera;hostmannii;75,000000000000;hostmannii
4;104159;161,0000000000000;43,00000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;90,000000000000;coriacea
4;104161;164,5000000000000;45,50000000000000;Fabaceae;Swartzia_polyphylla;Swartzia;polyphylla;63,600000000000;polyphylla
4;104165;160,5000000000000;48,00000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;60,500000000000;coriacea
4;104166;161,5000000000000;55,50000000000000;Clusiaceae;Symphonia_sp.1;Symphonia;sp.1;111,000000000000;sp.1
4;104167;160,0000000000000;60,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;48,000000000000;persistens
4;104171;166,5000000000000;76,50000000000000;Fabaceae;Abarema_jupunba;Abarema;jupunba var. jupunba;163,000000000000;jupunba
4;104172;168,5000000000000;78,00000000000000;Sapotaceae;Pradosia_cochlearia;Pradosia;cochlearia;84,000000000000;cochlearia
4;104178;163,5000000000000;110,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;105,500000000000;falcata
4;104179;166,5000000000000;110,50000000000000;Fabaceae;Bocoa_prouacensis;Bocoa;prouacensis;92,500000000000;prouacensis
4;104181;169,0000000000000;114,00000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;93,000000000000;alba
4;104182;168,0000000000000;115,50000000000000;Fabaceae;Bocoa_prouacensis;Bocoa;prouacensis;59,500000000000;prouacensis
4;104184;176,5000000000000;123,00000000000000;Melastomataceae;Mouriri_crassifolia;Mouriri;crassifolia;79,000000000000;crassifolia
4;104185;170,5000000000000;107,00000000000000;Lecythidaceae;Gustavia_hexapetala;Gustavia;hexapetala;48,000000000000;hexapetala
4;104186;168,5000000000000;103,50000000000000;Lecythidaceae;Eschweilera_sagotiana;Eschweilera;sagotiana;72,500000000000;sagotiana
4;104187;168,0000000000000;103,50000000000000;Euphorbiaceae;Hevea_guianensis;Hevea;guianensis;96,000000000000;guianensis
4;104188;164,5000000000000;103,00000000000000;Chrysobalanaceae;Licania_membranacea;Licania;membranacea;75,500000000000;membranacea
4;104189;166,5000000000000;101,50000000000000;Fabaceae;Tachigali_melinonii;Tachigali;melinonii;251,875000000000;melinonii
4;104191;170,0000000000000;107,00000000000000;Moraceae;Helicostylis_tomentosa;Helicostylis;tomentosa;50,000000000000;tomentosa
4;104193;179,0000000000000;109,00000000000000;Annonaceae;Oxandra_asbeckii;Oxandra;asbeckii;55,000000000000;asbeckii
4;104195;178,5000000000000;94,00000000000000;Lecythidaceae;Gustavia_hexapetala;Gustavia;hexapetala;60,500000000000;hexapetala
4;104196;176,0000000000000;92,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;98,000000000000;persistens
